,formulas,rmse,pearson_coeff,pval
0,(EA_A + EA_B)/((EA_A**2)),0.1917470782254124,-0.34970403709039205,0.0012800456896081577
1,(EA_A + EA_B)/((EA_A**3)),0.1748856048943269,0.44563076254977985,2.7230383937858474e-05
2,(EA_A + EA_B)/((EA_B**2)),0.1774972468895127,-0.4574660023372731,1.5543464216835447e-05
3,(EA_A + EA_B)/((EA_B**3)),0.1782009069552665,0.4614228561889966,1.2826350221575455e-05
4,(EA_A + EA_B)/((IP_A**2)),0.1778132919361342,0.40482025112967995,0.00016170888399162588
5,(EA_A + EA_B)/((IP_A**3)),0.1830278401249685,-0.3692903754413978,0.0006395510289431402
6,(EA_A + EA_B)/((IP_B**2)),0.2082653170762419,0.1350175406303272,0.22650423634765696
7,(EA_A + EA_B)/((IP_B**3)),0.2112760500363403,-0.012762679459567603,0.9093952660588916
8,(EA_A + EA_B)/((Z_A**2)),0.2103652370522275,-0.06457696863607693,0.5643488110291378
9,(EA_A + EA_B)/((Z_A**3)),0.2098895076663952,-0.020666117076420132,0.853788820679293
10,(EA_A + EA_B)/((Z_B**2)),0.2107079186747203,-0.15906506338292611,0.1534680485944106
11,(EA_A + EA_B)/((Z_B**3)),0.2034975918209765,-0.27480945084898434,0.012468175424255741
12,(EA_A + EA_B)/((rp_A**2)),0.06855842847391308,-0.8410841960331963,4.695305001107425e-23
13,(EA_A + EA_B)/((rp_A**3)),0.03856368181727074,-0.9086642427342753,4.408978885256605e-32
14,(EA_A + EA_B)/((rp_B**2)),0.2036503009660913,0.1742547682024477,0.11741313954893015
15,(EA_A + EA_B)/((rp_B**3)),0.2046578494515547,0.15702559197638177,0.15887817950220176
16,(EA_A + EA_B)/((rs_A**2)),0.1438878420254218,-0.612673356581974,9.513599748243512e-10
17,(EA_A + EA_B)/((rs_A**3)),0.07585258759496935,-0.8245589416009484,1.7455086687618786e-21
18,(EA_A + EA_B)/((rs_B**2)),0.2010198888866719,0.2116634015526006,0.056267485096738505
19,(EA_A + EA_B)/((rs_B**3)),0.2031154525348677,0.18193247531482937,0.10186882912528467
20,(EA_A + EA_B)/(exp(EA_A)),0.2074168854965671,0.1160229376591069,0.2992636972700894
21,(EA_A + EA_B)/(exp(EA_B)),0.190050945536138,0.32213587125153004,0.003163504611564692
22,(EA_A + EA_B)/(exp(IP_A)),0.1792417352981447,-0.5274141392175167,3.5609810944309536e-07
23,(EA_A + EA_B)/(exp(IP_B)),0.2047614261654541,0.15038900541492015,0.1774630386338255
24,(EA_A + EA_B)/(exp(Z_A)),0.2094401169005191,0.006390205633854363,0.9545627274616973
25,(EA_A + EA_B)/(exp(Z_B)),0.1711413952509861,-0.5258380125862288,3.9144888595328413e-07
26,(EA_A + EA_B)/(exp(rp_A)),0.1473239585128163,-0.5785975359445972,1.245763022517415e-08
27,(EA_A + EA_B)/(exp(rp_B)),0.1958437383483868,0.268148520056524,0.014863164087351896
28,(EA_A + EA_B)/(exp(rs_A)),0.1972915408869824,-0.26539976044692665,0.015961819749168354
29,(EA_A + EA_B)/(exp(rs_B)),0.1919619056636773,0.30459239312618125,0.005397544531206124
30,(EA_A + EA_B)/(sqrt(fabs(EA_A))),0.2056448895044913,0.22153744197786476,0.045474566932914726
31,(EA_A + EA_B)/(sqrt(fabs(EA_B))),0.2054091462964865,0.1570452351342223,0.15882540519857324
32,(EA_A + EA_B)/(sqrt(fabs(IP_A))),0.1760307651652697,0.4176647449117276,9.458544613031313e-05
33,(EA_A + EA_B)/(sqrt(fabs(IP_B))),0.1876281273850109,0.3485302206692179,0.0013325623022524603
34,(EA_A + EA_B)/(sqrt(fabs(Z_A))),0.2095775675752509,0.022427200851300733,0.8414850419094057
35,(EA_A + EA_B)/(sqrt(fabs(Z_B))),0.2052877509174435,0.1519438442518937,0.17297267091705437
36,(EA_A + EA_B)/(sqrt(fabs(rp_A))),0.2087975656532357,0.06943017475402219,0.5353805097845058
37,(EA_A + EA_B)/(sqrt(fabs(rp_B))),0.1930353053790604,0.2954540202147045,0.007042656552547348
38,(EA_A + EA_B)/(sqrt(fabs(rs_A))),0.2066753502221151,0.13404313563719922,0.2299045462762339
39,(EA_A + EA_B)/(sqrt(fabs(rs_B))),0.1903385935684229,0.31891217366140534,0.003498087884751469
40,(EA_A + EA_B**2)/((EA_A**2)),0.2055989605594392,0.25206514305503613,0.022340527206177813
41,(EA_A + EA_B**2)/((EA_A**3)),0.1724356368974478,-0.45746522866675604,1.554404455590018e-05
42,(EA_A + EA_B**2)/((EA_B**2)),0.1890567916426147,-0.3910678749792637,0.0002804632995960843
43,(EA_A + EA_B**2)/((EA_B**3)),0.2169004913599016,0.17369958785874176,0.11860432382107117
44,(EA_A + EA_B**2)/((IP_A**2)),0.1739729945819611,-0.42896771011960866,5.7936318330846e-05
45,(EA_A + EA_B**2)/((IP_A**3)),0.1817215510200124,0.37941763925056193,0.0004390123692675372
46,(EA_A + EA_B**2)/((IP_B**2)),0.1702555734268263,-0.46307332781260924,1.1830142330177761e-05
47,(EA_A + EA_B**2)/((IP_B**3)),0.1860527175349997,0.36999495009220673,0.0006232718198773985
48,(EA_A + EA_B**2)/((Z_A**2)),0.2101075779816657,0.00761948830238878,0.9458340901804975
