name    class	  sc1          sc2          sc3         DV	DV/V(%)	DE_sw	DeltaE	P
NaLiTe	G	-0.02689     0.42284    -0.50652	1.270	1.864	0.038	0.102	-0.217
KNaS	G	 0.73181    -0.41420    -0.72455	0.893	1.292	0.007	0.159	-0.161
KNaSe	G	 0.41242    -0.32390    -0.67719	1.498	1.934	0.010	0.140	-0.155
KNaTe	G	-0.04117    -0.16547    -0.60810	2.638	2.821	0.006	0.113	-0.141
CaLiSb	R	 2.20483     0.19419    -0.32797	0.129	0.188	0.009	0.079	-0.205
CaLiBi	R	 1.93510     0.27120    -0.32043	0.329	0.452	0.013	0.069	metal
MgCuP	B	-0.91154     0.34297    -0.05680	-0.516	-1.231	0.044	0.144	-0.573
NaCdAs	O	-0.44176     1.12430    -1.12017	1.473	2.302	0.220	0.030	metal
NaCdSb	O	-0.37865     1.23029    -1.12076	1.879	2.502	0.284	-0.060	metal
ScNiP	I	 0.94148    -1.57609     0.99440	-2.072	-5.257	0.001	0.234	metal
ScPtP	I	 0.06792    -0.72441     1.39073	-2.866	-6.377	0.041	0.295	metal
ScCuSi	L	 2.83924     1.27381     0.81870	-0.199	-0.452	0.130	-0.021	metal
CaMgSi	A	-0.20872    -0.13235     0.49688	0.471	0.732	0.035	0.187	metal
CaMgGe	A	-0.47268    -0.03232     0.44055	0.206	0.314	0.045	0.193	metal
CaMgSn	A	-0.32344    -0.11841     0.63222	1.242	1.638	0.043	0.082	metal
SrMgSi	A	 0.04384    -0.94589    -0.47614	-1.248	-1.750	0.006	0.198	metal
SrMgGe	A	-0.40261    -0.56206    -0.54963	-1.139	-1.569	0.011	0.192	metal
SrMgSn	A	 0.55607     0.12353    -0.43718	0.298	0.359	0.039	0.109	metal
SrCaSi	A	 1.36112    -2.55258    -0.03577	3.491	4.131	0.001	0.224	metal
BaCaSi	A	-1.03221    -1.10844    -1.32247	0.461	0.500	0.011	0.312	metal
BaCaGe	A	-1.07611    -1.19284    -1.43039	0.074	0.079	0.011	0.309	metal
BaCaSn	A	 0.21238    -3.06094    -0.32680	3.902	3.677	0.000	0.211	metal
TiNiSi	V	 0.46825     0.85169     1.63166	-0.787	-2.104	0.235	0.138	metal
ZrPtSi	V	-0.53655     0.65744     0.60657	-2.241	-4.727	0.240	0.386	metal
ZrPtGe	V	-0.20648     0.85326     1.35839	-2.164	-4.364	0.291	0.171	metal
HfPdSi	V	-0.38053     0.61024     1.25326	-1.772	-3.842	0.300	0.401	metal
HfPtSi	V	-0.30941     0.80390     0.98231	-2.223	-4.800	0.321	0.310	metal
NaAgSe	G	-2.64089    -0.11954     0.49183	-0.046	-0.079	0.059	0.108	metal
LaLiSi	L	 3.62698     0.19150    -0.28544	-1.916	-3.020	0.013	0.052	metal
MgLiP	R	-0.20616    -0.19861     0.85123	0.496	1.101	0.036	0.239	-0.448
LiZnP	O	 0.29774     1.44648    -0.70924	0.955	2.189	0.271	-0.058	-0.803
MgLiAs	R	-0.57285    -0.25573     0.82410	0.603	1.221	0.037	0.212	metal
LiZnAs	O	-0.24701     1.15806    -0.67205	0.935	1.937	0.312	-0.075	-0.728
MgLiSb	R	-1.35662    -0.28840     0.70109	1.387	2.281	0.048	0.130	metal
LiZnSb	O	-0.89919     1.66151    -1.17440	1.284	2.188	0.383	-0.173	metal
MgLiBi	R	-1.65084    -0.50272     0.81361	1.496	2.281	0.028	0.102	metal
NaMgP	R	-0.03286     0.40368    -0.62891	1.007	1.770	0.115	0.265	-0.713
NaMgAs	R	-0.32432     0.37907    -0.52333	0.993	1.611	0.126	0.229	-0.687
NaMgSb	R	-1.01970     0.27494    -0.25332	1.328	1.782	0.150	0.137	-0.455
