Name					eta(a) 	eta(b)	eta(c)				eta(a)	eta(c)					GM2-	GM5+	M2-	DV	DV/V(%)	DE_sw	DeltaE	P
NaLiSe					-0.007963594994312	-0.027217268887846	0.024654489946112				0	0.000142227279192					0.000	0.298	1.310	-0.618	-1.129	0.000	0.158	0
NaLiTe					0.041301627033792	-0.034743202416919	0.014038377413544				-0.000862440707201	-0.011682242990654					0.671	0.329	1.360	1.270	1.864	0.038	0.102	-0.217
KNaS					0.037143640350877	-0.029481385840327	0.006728907089205				0.001940491591203	-0.017902813299233					0.474	0.269	1.362	0.893	1.292	0.007	0.159	-0.161
KNaSe					0.047173593478552	-0.033257591406734	0.007291959011688				-0.000825593395253	-0.00478787072749					0.511	0.293	1.381	1.498	1.934	0.010	0.140	-0.155
KNaTe					0.062428041448126	-0.037630258587418	0.006296339506117				-0.005374280230326	0.017176317501627					0.569	0.327	1.406	2.638	2.821	0.006	0.113	-0.141
CaLiSb					0.007427413909521	-0.015367965367965	0.010238003491112				0.001517450682853	-0.009364548494983					0.461	0.194	1.156	0.129	0.188	0.009	0.079	-0.205
CaLiBi					0.011180620258219	-0.017577297755189	0.01127998230991				0.000635727908455	-0.005295908910367					0.494	0.212	1.175	0.329	0.452	0.013	0.069	metal
SrLiSb					-0.038659163200392	0.005307855626327	0.012385535719134				0.000212359311956	0.000122354092744					0.000	0.140	1.202	-1.694	-2.205	0.001	0.051	0
SrLiBi					-0.032344033918837	0.003119151590767	0.012193828142594				0	0.000242336120199					0.000	0.150	1.212	-1.450	-1.785	0.001	0.055	0
MgCuP					-0.006685323383085	-0.032539072508327	0.027781109487451				0.015084525357607	-0.06917510853835					0.697	0.420	1.403	-0.516	-1.231	0.044	0.144	-0.573
NaCdAs					0.025883662677428	-0.022757697456493	0.021119050394057				0.007417397167903	-0.075517818088254					0.860	0.309	1.412	1.473	2.302	0.220	0.030	metal
NaCdSb					0.029854689564069	-0.025603046974185	0.022151862528481				-0.004633529907329	-0.029238266222108					0.875	0.304	1.400	1.879	2.502	0.284	-0.060	metal
ScNiP					-0.092343658679135	-0.020309994655265	0.06829857398957				0.001874163319946	-0.007108660960395					0.160	0.383	1.254	-2.072	-5.257	0.001	0.234	metal
ScPtP					-0.066772425728295	-0.051127819548872	0.061658878457214				0.00251256281407	-0.015755855216466					0.359	0.463	1.245	-2.866	-6.377	0.041	0.295	metal
ScCuSi					0.006922592825677	-0.021419676214197	0.010039424853781				0.002747252747253	-0.010277172220492					0.557	0.224	0.928	-0.199	-0.452	0.130	-0.021	metal
CaMgSi					0.019846261355695	-0.042492294143549	0.031654510071115				-0.001977587343441	0.012738853503185					0.532	0.415	1.317	0.471	0.732	0.035	0.187	metal
CaMgGe					0.011871893981226	-0.042973032229774	0.035964613691712				-0.002624097966324	0.014850098066685					0.572	0.428	1.340	0.206	0.314	0.045	0.193	metal
CaMgSn					0.036575453806557	-0.044099378881988	0.025842652212292				-0.004534212695796	0.0218715393134					0.536	0.432	1.314	1.242	1.638	0.043	0.082	metal
SrMgSi					-0.022500639222705	-0.021175453759723	0.027204433126054				0.007400957771006	-0.02638785163057					0.413	0.336	1.433	-1.248	-1.750	0.006	0.198	metal
SrMgGe					-0.022912423625255	-0.024704618689581	0.033029085301911				0.008885999133073	-0.029644268774704					0.519	0.358	1.457	-1.139	-1.569	0.011	0.192	metal
SrMgSn					0.019645362928945	-0.023095623987034	0.007438790220877				0.003048160942898	-0.008223684210526					0.571	0.297	1.319	0.298	0.359	0.039	0.109	metal
SrCaSi					0.081694402420575	-0.047309284447073	0.012098549951378				0	0.000412768299395					0.002	0.290	1.370	3.491	4.131	0.001	0.224	metal
SrCaGe					0.075435729847495	-0.046008651199371	0.011214352721429				0	0					0.001	0.283	1.385	3.073	3.600	0.001	0.233	metal
SrCaSn					0.103415687862832	-0.053681267474371	0.009098504043079				0.000186428038777	0.000405186385737					0.000	0.342	1.350	4.974	5.113	0.001	0.110	metal
SrCaPb					0.097508991607833	-0.05248567732397	0.007882210823361				0	0.000133226751932					0.000	0.340	1.361	4.564	4.576	0.001	0.110	metal
BaCaSi					0.041226871973178	-0.035289530122831	0.000372751469722				-0.00658531861321	0.022343531801447					0.502	0.350	1.618	0.461	0.500	0.011	0.312	metal
BaCaGe					0.035020889653478	-0.032691185055458	-0.000225715991734				-0.005803830528148	0.017377172146518					0.495	0.346	1.637	0.074	0.079	0.011	0.309	metal
BaCaSn					0.097783407219759	-0.049378200438917	-0.005052745688763				0	0.000253389078931					0.005	0.350	1.531	3.902	3.677	0.000	0.211	metal
TiNiSi					0.023898305084746	-0.070356958096224	0.028657179042458				-0.028399095250063	0.090976331360947					0.608	0.442	1.092	-0.787	-2.104	0.235	0.138	metal
TiNiGe					0.019816819317236	-0.064918533604888	0.03049967853576				-0.030602171767029	0.100219860754855					0.660	0.443	1.081	-0.695	-1.764	0.219	0.017	metal
