           Name ,          eta(a) ,          eta(b) ,          eta(c) ,          eta(a) ,          eta(c) ,            GM2- ,            GM5+ ,             M2- ,              DV ,         DV/V(%) ,           DE_sw ,          DeltaE ,               P 
    NaLiTe ,   0.0413016270 ,   -0.0347432024 ,    0.0140383774 ,   -0.0008624407 ,   -0.0116822430 ,    0.6710000000 ,    0.3290000000 ,    1.3600000000 ,    1.2700000000 ,    1.8640000000 ,    0.0380000000 ,    0.1020000000 ,   -0.2170000000
      KNaS ,   0.0371436404 ,   -0.0294813858 ,    0.0067289071 ,    0.0019404916 ,   -0.0179028133 ,    0.4740000000 ,    0.2690000000 ,    1.3620000000 ,    0.8930000000 ,    1.2920000000 ,    0.0070000000 ,    0.1590000000 ,   -0.1610000000
     KNaSe ,   0.0471735935 ,   -0.0332575914 ,    0.0072919590 ,   -0.0008255934 ,   -0.0047878707 ,    0.5110000000 ,    0.2930000000 ,    1.3810000000 ,    1.4980000000 ,    1.9340000000 ,    0.0100000000 ,    0.1400000000 ,   -0.1550000000
     KNaTe ,   0.0624280414 ,   -0.0376302586 ,    0.0062963395 ,   -0.0053742802 ,    0.0171763175 ,    0.5690000000 ,    0.3270000000 ,    1.4060000000 ,    2.6380000000 ,    2.8210000000 ,    0.0060000000 ,    0.1130000000 ,   -0.1410000000
    CaLiSb ,   0.0074274139 ,   -0.0153679654 ,    0.0102380035 ,    0.0015174507 ,   -0.0093645485 ,    0.4610000000 ,    0.1940000000 ,    1.1560000000 ,    0.1290000000 ,    0.1880000000 ,    0.0090000000 ,    0.0790000000 ,   -0.2050000000
    CaLiBi ,   0.0111806203 ,   -0.0175772978 ,    0.0112799823 ,    0.0006357279 ,   -0.0052959089 ,    0.4940000000 ,    0.2120000000 ,    1.1750000000 ,    0.3290000000 ,    0.4520000000 ,    0.0130000000 ,    0.0690000000 ,           metal
     MgCuP ,  -0.0066853234 ,   -0.0325390725 ,    0.0277811095 ,    0.0150845254 ,   -0.0691751085 ,    0.6970000000 ,    0.4200000000 ,    1.4030000000 ,   -0.5160000000 ,   -1.2310000000 ,    0.0440000000 ,    0.1440000000 ,   -0.5730000000
    NaCdAs ,   0.0258836627 ,   -0.0227576975 ,    0.0211190504 ,    0.0074173972 ,   -0.0755178181 ,    0.8600000000 ,    0.3090000000 ,    1.4120000000 ,    1.4730000000 ,    2.3020000000 ,    0.2200000000 ,    0.0300000000 ,           metal
    NaCdSb ,   0.0298546896 ,   -0.0256030470 ,    0.0221518625 ,   -0.0046335299 ,   -0.0292382662 ,    0.8750000000 ,    0.3040000000 ,    1.4000000000 ,    1.8790000000 ,    2.5020000000 ,    0.2840000000 ,   -0.0600000000 ,           metal
     ScNiP ,  -0.0923436587 ,   -0.0203099947 ,    0.0682985740 ,    0.0018741633 ,   -0.0071086610 ,    0.1600000000 ,    0.3830000000 ,    1.2540000000 ,   -2.0720000000 ,   -5.2570000000 ,    0.0010000000 ,    0.2340000000 ,           metal
     ScPtP ,  -0.0667724257 ,   -0.0511278195 ,    0.0616588785 ,    0.0025125628 ,   -0.0157558552 ,    0.3590000000 ,    0.4630000000 ,    1.2450000000 ,   -2.8660000000 ,   -6.3770000000 ,    0.0410000000 ,    0.2950000000 ,           metal
    ScCuSi ,   0.0069225928 ,   -0.0214196762 ,    0.0100394249 ,    0.0027472527 ,   -0.0102771722 ,    0.5570000000 ,    0.2240000000 ,    0.9280000000 ,   -0.1990000000 ,   -0.4520000000 ,    0.1300000000 ,   -0.0210000000 ,           metal
    CaMgSi ,   0.0198462614 ,   -0.0424922941 ,    0.0316545101 ,   -0.0019775873 ,    0.0127388535 ,    0.5320000000 ,    0.4150000000 ,    1.3170000000 ,    0.4710000000 ,    0.7320000000 ,    0.0350000000 ,    0.1870000000 ,           metal
    CaMgGe ,   0.0118718940 ,   -0.0429730322 ,    0.0359646137 ,   -0.0026240980 ,    0.0148500981 ,    0.5720000000 ,    0.4280000000 ,    1.3400000000 ,    0.2060000000 ,    0.3140000000 ,    0.0450000000 ,    0.1930000000 ,           metal
    CaMgSn ,   0.0365754538 ,   -0.0440993789 ,    0.0258426522 ,   -0.0045342127 ,    0.0218715393 ,    0.5360000000 ,    0.4320000000 ,    1.3140000000 ,    1.2420000000 ,    1.6380000000 ,    0.0430000000 ,    0.0820000000 ,           metal
    SrMgSi ,  -0.0225006392 ,   -0.0211754538 ,    0.0272044331 ,    0.0074009578 ,   -0.0263878516 ,    0.4130000000 ,    0.3360000000 ,    1.4330000000 ,   -1.2480000000 ,   -1.7500000000 ,    0.0060000000 ,    0.1980000000 ,           metal
    SrMgGe ,  -0.0229124236 ,   -0.0247046187 ,    0.0330290853 ,    0.0088859991 ,   -0.0296442688 ,    0.5190000000 ,    0.3580000000 ,    1.4570000000 ,   -1.1390000000 ,   -1.5690000000 ,    0.0110000000 ,    0.1920000000 ,           metal
    SrMgSn ,   0.0196453629 ,   -0.0230956240 ,    0.0074387902 ,    0.0030481609 ,   -0.0082236842 ,    0.5710000000 ,    0.2970000000 ,    1.3190000000 ,    0.2980000000 ,    0.3590000000 ,    0.0390000000 ,    0.1090000000 ,           metal
    SrCaSi ,   0.0816944024 ,   -0.0473092844 ,    0.0120985500 ,    0.0000000000 ,    0.0004127683 ,    0.0020000000 ,    0.2900000000 ,    1.3700000000 ,    3.4910000000 ,    4.1310000000 ,    0.0010000000 ,    0.2240000000 ,           metal
    BaCaSi ,   0.0412268720 ,   -0.0352895301 ,    0.0003727515 ,   -0.0065853186 ,    0.0223435318 ,    0.5020000000 ,    0.3500000000 ,    1.6180000000 ,    0.4610000000 ,    0.5000000000 ,    0.0110000000 ,    0.3120000000 ,           metal
    BaCaGe ,   0.0350208897 ,   -0.0326911851 ,   -0.0002257160 ,   -0.0058038305 ,    0.0173771721 ,    0.4950000000 ,    0.3460000000 ,    1.6370000000 ,    0.0740000000 ,    0.0790000000 ,    0.0110000000 ,    0.3090000000 ,           metal
    BaCaSn ,   0.0977834072 ,   -0.0493782004 ,   -0.0050527457 ,    0.0000000000 ,    0.0002533891 ,    0.0050000000 ,    0.3500000000 ,    1.5310000000 ,    3.9020000000 ,    3.6770000000 ,    0.0000000000 ,    0.2110000000 ,           metal
    TiNiSi ,   0.0238983051 ,   -0.0703569581 ,    0.0286571790 ,   -0.0283990953 ,    0.0909763314 ,    0.6080000000 ,    0.4420000000 ,    1.0920000000 ,   -0.7870000000 ,   -2.1040000000 ,    0.2350000000 ,    0.1380000000 ,           metal
    ZrPtSi ,   0.0018373909 ,   -0.0770883055 ,    0.0327542405 ,    0.0269607843 ,   -0.0621769098 ,    0.6950000000 ,    0.4390000000 ,    1.2890000000 ,   -2.2410000000 ,   -4.7270000000 ,    0.2400000000 ,    0.3860000000 ,           metal
    ZrPtGe ,   0.0039561777 ,   -0.0755159475 ,    0.0324333496 ,   -0.0244795241 ,    0.0907883817 ,    0.6700000000 ,    0.4680000000 ,    1.1780000000 ,   -2.1640000000 ,   -4.3640000000 ,    0.2910000000 ,    0.1710000000 ,           metal
    HfPdSi ,   0.0099828420 ,   -0.0806645798 ,    0.0370895758 ,   -0.0066969624 ,    0.0295487394 ,    0.6430000000 ,    0.4740000000 ,    1.2180000000 ,   -1.7720000000 ,   -3.8420000000 ,    0.3000000000 ,    0.4010000000 ,           metal
    HfPtSi ,   0.0048091840 ,   -0.0791366906 ,    0.0312001930 ,    0.0021629416 ,    0.0130441616 ,    0.6870000000 ,    0.4490000000 ,    1.2250000000 ,   -2.2230000000 ,   -4.8000000000 ,    0.3210000000 ,    0.3100000000 ,           metal
    NaAgSe ,   0.0175639012 ,   -0.0523572076 ,    0.0361422102 ,    0.0018165304 ,   -0.0410790086 ,    0.7080000000 ,    0.5770000000 ,    1.5360000000 ,   -0.0460000000 ,   -0.0790000000 ,    0.0590000000 ,    0.1080000000 ,           metal
    LaLiSi ,  -0.0147175815 ,    0.0055890901 ,   -0.0201954184 ,    0.0017917133 ,   -0.0067167128 ,    0.3570000000 ,    0.1020000000 ,    1.0240000000 ,   -1.9160000000 ,   -3.0200000000 ,    0.0130000000 ,    0.0520000000 ,           metal
     MgLiP ,   0.0102685624 ,   -0.0558174150 ,    0.0601703529 ,   -0.0037073653 ,    0.0173577628 ,    0.5020000000 ,    0.4400000000 ,    1.2880000000 ,    0.4960000000 ,    1.1010000000 ,    0.0360000000 ,    0.2390000000 ,   -0.4480000000
     LiZnP ,   0.0157059840 ,   -0.0195779303 ,    0.0269876642 ,    0.0020382166 ,   -0.0765772299 ,    0.8460000000 ,    0.2860000000 ,    1.2880000000 ,    0.9550000000 ,    2.1890000000 ,    0.2710000000 ,   -0.0580000000 ,   -0.8030000000
    MgLiAs ,   0.0147783251 ,   -0.0567035079 ,    0.0578743760 ,   -0.0052581262 ,    0.0210625589 ,    0.5190000000 ,    0.4630000000 ,    1.3270000000 ,    0.6030000000 ,    1.2210000000 ,    0.0370000000 ,    0.2120000000 ,           metal
    LiZnAs ,   0.0124487627 ,   -0.0220967346 ,    0.0298182435 ,   -0.0007360157 ,   -0.0635484788 ,    0.8300000000 ,    0.3270000000 ,    1.3510000000 ,    0.9350000000 ,    1.9370000000 ,    0.3120000000 ,   -0.0750000000 ,   -0.7280000000
    MgLiSb ,   0.0360689252 ,   -0.0571939231 ,    0.0477694899 ,   -0.0127922364 ,    0.0380475974 ,    0.5750000000 ,    0.5070000000 ,    1.4110000000 ,    1.3870000000 ,    2.2810000000 ,    0.0480000000 ,    0.1300000000 ,           metal
    LiZnSb ,   0.0156316612 ,   -0.0186592951 ,    0.0258241480 ,   -0.0070905764 ,   -0.0540395214 ,    0.9940000000 ,    0.3320000000 ,    1.4260000000 ,    1.2840000000 ,    2.1880000000 ,    0.3830000000 ,   -0.1730000000 ,           metal
    MgLiBi ,   0.0472972973 ,   -0.0639635733 ,    0.0441627483 ,   -0.0185145776 ,    0.0507552870 ,    0.5510000000 ,    0.5360000000 ,    1.4400000000 ,    1.4960000000 ,    2.2810000000 ,    0.0280000000 ,    0.1020000000 ,           metal
     NaMgP ,   0.0507927187 ,   -0.0369859867 ,    0.0058866165 ,   -0.0036621653 ,    0.0141432187 ,    0.6740000000 ,    0.3210000000 ,    1.3730000000 ,    1.0070000000 ,    1.7700000000 ,    0.1150000000 ,    0.2650000000 ,   -0.7130000000
