name    class	GM2-	GM5+	M2-	DV	DV/V(%)	DE_sw	DeltaE	P
NaLiTe	G	0.671	0.329	1.360	1.270	1.864	0.038	0.102	-0.217
KNaS	G	0.474	0.269	1.362	0.893	1.292	0.007	0.159	-0.161
KNaSe	G	0.511	0.293	1.381	1.498	1.934	0.010	0.140	-0.155
KNaTe	G	0.569	0.327	1.406	2.638	2.821	0.006	0.113	-0.141
CaLiSb	R	0.461	0.194	1.156	0.129	0.188	0.009	0.079	-0.205
CaLiBi	R	0.494	0.212	1.175	0.329	0.452	0.013	0.069	metal
MgCuP	B	0.697	0.420	1.403	-0.516	-1.231	0.044	0.144	-0.573
NaCdAs	O	0.860	0.309	1.412	1.473	2.302	0.220	0.030	metal
NaCdSb	O	0.875	0.304	1.400	1.879	2.502	0.284	-0.060	metal
ScNiP	I	0.160	0.383	1.254	-2.072	-5.257	0.001	0.234	metal
ScPtP	I	0.359	0.463	1.245	-2.866	-6.377	0.041	0.295	metal
ScCuSi	L	0.557	0.224	0.928	-0.199	-0.452	0.130	-0.021	metal
CaMgSi	A	0.532	0.415	1.317	0.471	0.732	0.035	0.187	metal
CaMgGe	A	0.572	0.428	1.340	0.206	0.314	0.045	0.193	metal
CaMgSn	A	0.536	0.432	1.314	1.242	1.638	0.043	0.082	metal
SrMgSi	A	0.413	0.336	1.433	-1.248	-1.750	0.006	0.198	metal
SrMgGe	A	0.519	0.358	1.457	-1.139	-1.569	0.011	0.192	metal
SrMgSn	A	0.571	0.297	1.319	0.298	0.359	0.039	0.109	metal
SrCaSi	A	0.002	0.290	1.370	3.491	4.131	0.001	0.224	metal
BaCaSi	A	0.502	0.350	1.618	0.461	0.500	0.011	0.312	metal
BaCaGe	A	0.495	0.346	1.637	0.074	0.079	0.011	0.309	metal
BaCaSn	A	0.005	0.350	1.531	3.902	3.677	0.000	0.211	metal
TiNiSi	V	0.608	0.442	1.092	-0.787	-2.104	0.235	0.138	metal
ZrPtSi	V	0.695	0.439	1.289	-2.241	-4.727	0.240	0.386	metal
ZrPtGe	V	0.670	0.468	1.178	-2.164	-4.364	0.291	0.171	metal
HfPdSi	V	0.643	0.474	1.218	-1.772	-3.842	0.300	0.401	metal
HfPtSi	V	0.687	0.449	1.225	-2.223	-4.800	0.321	0.310	metal
NaAgSe	G	0.708	0.577	1.536	-0.046	-0.079	0.059	0.108	metal
LaLiSi	L	0.357	0.102	1.024	-1.916	-3.020	0.013	0.052	metal
MgLiP	R	0.502	0.440	1.288	0.496	1.101	0.036	0.239	-0.448
LiZnP	O	0.846	0.286	1.288	0.955	2.189	0.271	-0.058	-0.803
MgLiAs	R	0.519	0.463	1.327	0.603	1.221	0.037	0.212	metal
LiZnAs	O	0.830	0.327	1.351	0.935	1.937	0.312	-0.075	-0.728
MgLiSb	R	0.575	0.507	1.411	1.387	2.281	0.048	0.130	metal
LiZnSb	O	0.994	0.332	1.426	1.284	2.188	0.383	-0.173	metal
MgLiBi	R	0.551	0.536	1.440	1.496	2.281	0.028	0.102	metal
NaMgP	R	0.674	0.321	1.373	1.007	1.770	0.115	0.265	-0.713
NaMgAs	R	0.685	0.348	1.391	0.993	1.611	0.126	0.229	-0.687
NaMgSb	R	0.702	0.414	1.435	1.328	1.782	0.150	0.137	-0.455
