       ABC            GM2-            GM5+             M2-              DV         DV/V(%)           DE_sw          DeltaE
    NaLiTe    0.6709700000    0.3290700000    1.3604300000    1.2700000000    1.8640000000    0.0382705000    0.1015840000
      KNaS    0.4740900000    0.2685200000    1.3618700000    0.8930000000    1.2920000000    0.0065605000    0.1587880000
     KNaSe    0.5114300000    0.2931100000    1.3814300000    1.4980000000    1.9340000000    0.0100800000    0.1399552500
     KNaTe    0.5685800000    0.3270900000    1.4058000000    2.6380000000    2.8210000000    0.0064190000    0.1125787500
    CaLiSb    0.4610000000    0.1941900000    1.1557700000    0.1290000000    0.1880000000    0.0093250000    0.0786037500
    CaLiBi    0.4935800000    0.2124500000    1.1749700000    0.3290000000    0.4520000000    0.0129045000    0.0691895000
     MgCuP    0.6971600000    0.4198400000    1.4026200000   -0.5160000000   -1.2310000000    0.0438450000    0.1444130000
    NaCdAs    0.8603700000    0.3086800000    1.4115800000    1.4730000000    2.3020000000    0.2203105000    0.0301937500
    NaCdSb    0.8751700000    0.3042100000    1.4000300000    1.8790000000    2.5020000000    0.2841330000   -0.0600412500
     ScNiP    0.1601600000    0.3828500000    1.2540000000   -2.0720000000   -5.2570000000    0.0013410000    0.2344075000
     ScPtP    0.3592600000    0.4633600000    1.2450100000   -2.8660000000   -6.3770000000    0.0408425000    0.2953337500
    ScCuSi    0.5572600000    0.2237900000    0.9277200000   -0.1990000000   -0.4520000000    0.1299000000   -0.0213737500
    CaMgSi    0.5321400000    0.4145600000    1.3167200000    0.4710000000    0.7320000000    0.0351790000    0.1873675000
    CaMgGe    0.5723100000    0.4278800000    1.3402700000    0.2060000000    0.3140000000    0.0447865000    0.1925860000
    CaMgSn    0.5360500000    0.4323900000    1.3138000000    1.2420000000    1.6380000000    0.0430065000    0.0823017500
    SrMgSi    0.4131900000    0.3358200000    1.4330300000   -1.2480000000   -1.7500000000    0.0060245000    0.1976270000
    SrMgGe    0.5188200000    0.3575900000    1.4566100000   -1.1390000000   -1.5690000000    0.0112825000    0.1919000000
    SrMgSn    0.5714700000    0.2969600000    1.3189800000    0.2980000000    0.3590000000    0.0385200000    0.1092915000
    SrCaSi    0.0023000000    0.2900400000    1.3703200000    3.4910000000    4.1310000000    0.0006785000    0.2235407500
    SrCaGe    0.0014700000    0.2832100000    1.3847300000    3.0730000000    3.6000000000    0.0006765000    0.2332735000
    SrCaSn    0.0000000000    0.3424900000    1.3504400000    4.9740000000    5.1130000000    0.0014790000    0.1101272500
    BaCaSi    0.5024500000    0.3503100000    1.6183300000    0.4610000000    0.5000000000    0.0114865000    0.3121662500
    BaCaGe    0.4951700000    0.3456300000    1.6374000000    0.0740000000    0.0790000000    0.0111140000    0.3086522500
    BaCaSn    0.0050000000    0.3499700000    1.5310100000    3.9020000000    3.6770000000    0.0002915000    0.2111012500
    TiNiSi    0.6081900000    0.4420300000    1.0921600000   -0.7870000000   -2.1040000000    0.2346005000    0.1382537500
    TiNiGe    0.6604000000    0.4434400000    1.0808300000   -0.6950000000   -1.7640000000    0.2192155000    0.0165557500
    TiPdGe    0.5568400000    0.4870200000    1.1103000000   -1.1770000000   -2.6530000000    0.0364230000    0.2610285000
    TiPtSi    0.5633100000    0.4699200000    1.1221100000   -1.4290000000   -3.3460000000    0.1286380000    0.2755360000
    ZrPtSi    0.6948700000    0.4387700000    1.2894200000   -2.2410000000   -4.7270000000    0.2398110000    0.3858565000
    ZrPtGe    0.6701900000    0.4682700000    1.1780000000   -2.1640000000   -4.3640000000    0.2906605000    0.1706010000
    HfPdSi    0.6434600000    0.4740100000    1.2180000000   -1.7720000000   -3.8420000000    0.2997140000    0.4014485000
    HfPtSi    0.6872300000    0.4485000000    1.2247800000   -2.2230000000   -4.8000000000    0.3207950000    0.3098435000
    HfPtGe    0.7003300000    0.4578600000    1.1627000000   -2.2380000000   -4.6160000000    0.3422870000    0.0905195000
    NaAgSe    0.7079600000    0.5771800000    1.5357100000   -0.0460000000   -0.0790000000    0.0585970000    0.1075345000
    LaLiSi    0.3566600000    0.1018100000    1.0243200000   -1.9160000000   -3.0200000000    0.0126985000    0.0516807500
    NaInGe    0.6969600000    0.1971700000    1.2393600000    2.6210000000    3.8340000000    0.2533125000   -0.0477570000
    RbInSn    0.7345500000    0.2015000000    1.6134200000    1.3200000000    1.4370000000    0.2623250000    0.2737807500
     LiBeP    0.7848000000    0.2558300000    1.2919700000    1.1840000000    3.3330000000    0.0774820000    0.0510047500
     MgLiP    0.5023300000    0.4402200000    1.2877800000    0.4960000000    1.1010000000    0.0363480000    0.2390222500
     LiZnP    0.8460800000    0.2863200000    1.2877400000    0.9550000000    2.1890000000    0.2707585000   -0.0577782500
    LiBeAs    0.8370700000    0.2576200000    1.3215600000    1.3400000000    3.3750000000    0.1237445000   -0.0011737500
    MgLiAs    0.5191800000    0.4634800000    1.3270500000    0.6030000000    1.2210000000    0.0371885000    0.2116487500
    LiZnAs    0.8297400000    0.3268400000    1.3513600000    0.9350000000    1.9370000000    0.3121385000   -0.0753940000
    LiBeSb    1.1267600000    0.1526400000    1.3016800000    2.0670000000    4.1100000000    0.2900155000   -0.1732287500
    MgLiSb    0.5751600000    0.5071500000    1.4112100000    1.3870000000    2.2810000000    0.0476710000    0.1300117500
    LiZnSb    0.9944200000    0.3323600000    1.4258400000    1.2840000000    2.1880000000    0.3827365000   -0.1726112500
    LiBeBi    1.2051200000    0.1374800000    1.3565400000    1.7450000000    3.1910000000    0.3197280000   -0.1810805000
    MgLiBi    0.5505400000    0.5363700000    1.4397600000    1.4960000000    2.2810000000    0.0279335000    0.1022110000
    LiZnBi    0.9243900000    0.1403800000    1.3308900000   -1.2370000000   -2.0010000000    0.2975525000   -0.1280705000
     NaMgP    0.6738500000    0.3206800000    1.3727900000    1.0070000000    1.7700000000    0.1147475000    0.2649995000
    NaMgAs    0.6851600000    0.3481000000    1.3909700000    0.9930000000    1.6110000000    0.1255275000    0.2286872500
    NaMgSb    0.7023100000    0.4135400000    1.4350100000    1.3280000000    1.7820000000    0.1501500000    0.1373312500
    NaZnSb    1.0043100000    0.1427100000    1.4213500000    2.5330000000    3.8330000000    0.1105095000   -0.0079440000
    NaMgBi    0.7025200000    0.4721100000    1.4631200000    1.0920000000    1.3730000000    0.1292135000    0.1183772500
    NaZnBi    1.0484300000    0.1298200000    1.4100900000    2.8210000000    3.9220000000    0.2062905000   -0.0394757500
     KMgSb    0.9026200000    0.3215800000    1.8403800000    1.6200000000    1.9210000000    0.0025840000    0.2766705000
     KMgBi    0.9158300000    0.3316700000    1.8276400000    1.7790000000    1.9780000000    0.0547105000    0.2304837500
