ABC          GM2-        GM5+      M2-    

LiBeP        0.77        0.26      1.27
MgLiP        0.59        0.41      1.28
MgLiAs       0.61        0.43      1.35
CaLiSb       0.39        0.19      1.16
CaLiBi       0.44        0.21      1.17
NaMgP        0.69        0.32      1.43
NaMgAs       0.73        0.34      1.44
NaMgSb       0.77        0.40      1.51
NaMgBi       0.73        0.44      1.51
KMgSb        0.87        0.33      1.77
KMgBi        0.87        0.35      1.78     
NaZnSb       1.00        0.18      1.48
NaLiTe       0.69        0.30      1.41
KNaS         0.50        0.32      1.36
KNaSe        0.51        0.33      1.38
KNaTe        0.56        0.38      1.42
NaAgSe       0.74        0.62      1.59
BaCaSi       0.54        0.33      1.50
